皇御苑四期 精装修，两房子出租，有钥匙看房,"福田-皇岗租房-皇御苑四期 (深港1号,皇御苑)-",7000,https://shenzhen.qfang.com/rent/100386427?insource=rent_list
都市名园 精装大两房 花园社区 万象城对面 随时看房,罗湖-万象城租房-都市名园-,8000,https://shenzhen.qfang.com/rent/100393621?insource=rent_list
皇御苑四期 复式高层住家装修出租7600元，好房子,"福田-皇岗租房-皇御苑四期 (深港1号,皇御苑)-",8000,https://shenzhen.qfang.com/rent/100397425?insource=rent_list
中信红树湾 急租便宜，精装公寓1房1厅，家私电器全齐，随时入住,"南山-红树湾租房-中信红树湾 (中信红树湾花城,中信花城)-",7500,https://shenzhen.qfang.com/rent/100389207?insource=rent_list
万科清林径 2房1厅 南北通透 视野宽阔 拎包入住 即约即看,"龙岗-龙岗中心城租房-万科清林径 (千林山居一期,千林山居)-",2200,https://shenzhen.qfang.com/rent/100390042?insource=rent_list
中兆花园 中兆花园 花园式小区 精装三房 看小区花园,龙岗-布吉大芬租房-中兆花园-,3000,https://shenzhen.qfang.com/rent/100396617?insource=rent_list
皇御苑二期 精装两房 安静采光通透房源 !安静看花园,福田-皇岗租房-皇御苑二期 (皇御苑B区)-,7500,https://shenzhen.qfang.com/rent/100398212?insource=rent_list
大世纪水山缘 急租 刚出新房出租 精装三房带家私 有钥匙看房,龙岗-布吉南岭租房-大世纪水山缘-,4300,https://shenzhen.qfang.com/rent/100397588?insource=rent_list
中海康城国际 大运新城精装两房，可配齐拎包入住，安静不吵看花园,龙岗-大运新城租房-中海康城国际 (中海康城花园)-,3200,https://shenzhen.qfang.com/rent/100379286?insource=rent_list
天鹅堡二期 欧美田园装修风格家私全齐西南朝向安静采光好,南山-华侨城租房-天鹅堡二期 (波托菲诺天鹅堡二期)-,33500,https://shenzhen.qfang.com/rent/100387327?insource=rent_list
保利上城 1房1厅 53.47平 精装修 租金2600全齐,龙岗-龙岗中心城租房-保利上城 (保利上城花园)-,2600,https://shenzhen.qfang.com/rent/100395665?insource=rent_list
万科清林径 79平米3房 全新家私电器 保养非常好,"龙岗-龙岗中心城租房-万科清林径 (千林山居二期,千林山居)-",3300,https://shenzhen.qfang.com/rent/100397230?insource=rent_list
皇御苑二期 业主自住房子出租 2房价钱可以协商,福田-皇岗租房-皇御苑二期 (皇御苑B区)-,7500,https://shenzhen.qfang.com/rent/100397632?insource=rent_list
麒麟花园三期 街心公园近在咫尺 精装1房 看房方便 步行上班,南山-南头租房-麒麟花园三期 (麒麟花园)-,4200,https://shenzhen.qfang.com/rent/100397219?insource=rent_list
万科东方尊峪 畔山豪宅！环境宜人！豪华装修，景色优美！,罗湖-莲塘租房-万科东方尊峪 (东方尊峪花园)-,10000,https://shenzhen.qfang.com/rent/100394629?insource=rent_list
金域缇香二期 业主诚心出租，4房的经典复试，直接拎包入住,"坪山-坪山租房-金域缇香二期 (万科金域缇香二期,万科金域缇香花园二期)-",4500,https://shenzhen.qfang.com/rent/100393702?insource=rent_list
保利上城 爱联地铁站 三代同堂 精装修随时可以看房 急租,龙岗-龙岗中心城租房-保利上城 (保利上城花园)-,5000,https://shenzhen.qfang.com/rent/100387419?insource=rent_list
中海康城国际 中海大社区精3房2卫，家私电全齐，拎包入住，安静,龙岗-大运新城租房-中海康城国际 (中海康城花园)-,3800,https://shenzhen.qfang.com/rent/100393128?insource=rent_list
鹏益花园  2房 近华强北 拎包入住 楼下地铁站 视野开阔,福田-八卦岭租房-鹏益花园-,5600,https://shenzhen.qfang.com/rent/100397656?insource=rent_list
皇御苑二期 豪华装修 东南朝向 看花园安静,福田-皇岗租房-皇御苑二期 (皇御苑B区)-,9500,https://shenzhen.qfang.com/rent/100389211?insource=rent_list
皇御苑一期 全齐，好装修，南北通，安排,福田-皇岗租房-皇御苑一期 (皇御苑A区)-,13000,https://shenzhen.qfang.com/rent/100397320?insource=rent_list
金泓凯旋城 地铁新安站 宝安实验学校旁 精装两房 家电全齐 ,"宝安-宝安中心区租房-金泓凯旋城 (凯旋城,金泓凯旋城一期,凯旋城一期)-",7000,https://shenzhen.qfang.com/rent/100398878?insource=rent_list
凤凰新天 福永人气小区 凤凰花苑3房2厅家具齐全出租4000,宝安-福永租房-凤凰新天 (凤凰花苑)-,4000,https://shenzhen.qfang.com/rent/100398320?insource=rent_list
